Year,Division,Position,Name
1935,Light Heavyweights,6,Ambrose Palmer
1935,Light Heavyweights,7,Adolf Heuser
1935,Light Heavyweights,8,Joe Knight
1935,Light Heavyweights,9,Al Gainer
1935,Light Heavyweights,10,Fred Lenhart
1935,Middleweights,1,Freddie Steele
1935,Middleweights,2,Lou Brouillard
1935,Middleweights,3,Eddie (Babe) Risko
1935,Middleweights,4,Frank Battaglia
1935,Middleweights,5,Fred Henneberry
1935,Middleweights,6,Paul Pirrone
1935,Middleweights,7,Erich Seelig
1935,Middleweights,8,Ken Overlin
1935,Middleweights,9,Fred Apostoli
1935,Middleweights,10,Al Quaill
1935,Welterweights,1,Jimmy McLarnin
1935,Welterweights,2,Bep van Klaveren
1935,Welterweights,3,Jack Carroll
1935,Welterweights,4,Ceferino Garcia
